cell_label,x,y,z,brain_section_label,Drd1,Drd2,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Mc4r,Npy1r,Npy2r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3
3.25698164846809e+38,4.96577320474085,6.09855049352716,3.51708313940824,-1.043,2.5452788,0,2.078885,0,0,1.3853775,0,0,0,0,0,0,0,0,0,0,1.3853775,0,0,0,3.4160855,0
3.27241502455463e+38,4.97079730993274,6.05641303520507,3.51708313940824,-1.043,3.0183563,0,2.015748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0105178,0,0,2.60245,0
3.29833093238189e+38,5.00644816922809,6.13733231006397,3.51708313940824,-1.043,2.7608123,0,1.959358,0,0,0,0,0,0,0,0,0,0,0,0,0,1.959358,0,0,0,2.7608123,0
3.37971733244819e+38,4.8922450221705,6.08280671229205,3.51708313940824,-1.043,1.9643342,0,2.5452788,0,0,0,0,0,0.976321,0.976321,0,0,0,0,0,0,0,0,0,0,1.5533032,0
3.55426073969444e+37,4.86574183071279,6.10161904588866,3.51708313940824,-1.043,3.0091405,0,0.66682076,0,0,0,0,0,1.121109,0,0,0,0,0,0,0,0.66682076,0.66682076,0,0,1.121109,0
3.69592642013384e+37,4.84076849948343,6.06837247538445,3.51708313940824,-1.043,2.314558,0,2.9305868,0,0,0,0,1.2171319,0,0,0,0,0,0,1.2171319,0,0,1.2171319,0,1.2171319,2.314558,0
4.7640560651333e+37,4.93109235215669,6.15322465876707,3.51708313940824,-1.043,2.0661716,0,0,0,0,0.8455381,0,0,2.0661716,0,0,0,0,0,0,0,0,0,0,0,2.531471,0
6.01037700392393e+37,4.87708206009063,6.11349790626925,3.51708313940824,-1.043,1.9229386,0,2.7189407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76382506,0.76382506,0,0.76382506,2.7189407,0
6.70777105716684e+35,4.86423583368421,6.13493600943352,3.51708313940824,-1.043,2.6719034,0,2.025068,0,0,0,0,0,0,1.3420173,0,0,0,0,0,0,0,0,0,1.7235948,2.025068,0
7.32379535190383e+37,4.84165084829898,6.05772766091221,3.51708313940824,-1.043,2.716207,0,1.5145731,0.6951454,0,0.6951454,0,0,0,0,0,0,0,0,0,0,0,1.1622715,0,0,0,0
7.63555311969831e+37,4.83183543134684,6.05625524324299,3.51708313940824,-1.043,0,0,3.002025,0,0,0,0,0,0,2.5044062,0,0,0,0,0,0,0,0,0,0,0,0
7.99175464947989e+36,4.89144228414255,6.05270816740221,3.51708313940824,-1.043,1.9804552,0,1.4686904,0,0,0.6683326,0,1.4686904,1.1233155,0,0.6683326,0,0,0,0,0,0,1.1233155,0,1.747147,2.514471,0
8.74751875661546e+36,4.94349617686742,6.15288478056252,3.51708313940824,-1.043,2.5545888,0,0,0,0.85798097,0,0,0.85798097,0.85798097,0,0,0,0,0,0,0,0.85798097,0,0,1.7813597,2.33985,0
9.11113849828859e+37,4.90490410177941,6.10006320109578,3.51708313940824,-1.043,2.321928,0,2.321928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5849625,1.5849625,0
9.92506892871782e+37,4.97777974035726,6.09122153607169,3.51708313940824,-1.043,2.26276,0,2.743866,0,0,0.56060326,0,0,0.56060326,0,0,0,0,0,0,0,0.56060326,0.9633052,0,1.277781,0.9633052,0
1.92118115927406e+38,4.93880765385614,6.2201711015812,3.51708313940824,-1.043,2.1934197,0,1.948267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7780206,1.948267,0
2.98486018396852e+38,5.01114299858633,6.21048217648793,3.51708313940824,-1.043,3.1359062,0,1.3550458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.30669376752648e+38,4.95551299589958,6.23786843983151,3.51708313940824,-1.043,2.8350534,0,2.5628054,0,0,0.6902555,0.6902555,0.6902555,0,0.6902555,0,0,0,0,0,0,0,0.6902555,0,0,0,0.6902555
3.93029389104331e+37,4.97399973006315,6.22539642523268,3.51708313940824,-1.043,2.9175987,0,1.4792128,0,0,0,0,0,0,0,0,0,0,0,0,0.67445034,0,0,0,0.67445034,3.3972304,0
1.25088243378733e+37,4.6444047414738,6.10471367500845,3.51708313940824,-1.043,2.2575593,0.5060962,2.124863,1.4226679,0,0.88002247,0,0.88002247,0,0.5060962,0,0,0,0,0,0,0,0.5060962,0,0.5060962,2.379072,0
1.28520436193561e+38,4.73661081066208,6.21625553076143,3.51708313940824,-1.043,2.155474,0,1.6196898,0,0,0,0,1.2522097,0,0,0,0,0,0,0,0,1.2522097,0.75790215,0,1.6196898,2.155474,0
1.34689626336525e+38,4.79183237045823,6.06629485819725,3.51708313940824,-1.043,2.3030894,1.0870041,1.4257206,3.148978,0,0,0,0,0.6435442,0,0,0,0,1.9300979,0,0,0,1.0870041,0,0.6435442,2.599189,0
1.44878282905656e+38,4.67052575679925,6.14844598712428,3.51708313940824,-1.043,2.565702,0,3.105058,0,0,1.2277013,0,1.2277013,1.2277013,1.6944607,0,0,0,0,0,0,0,0.92191136,0,0,0.92191136,0
1.47319139355755e+38,4.66820787077488,6.10956141635194,3.51708313940824,-1.043,1.959358,0,3.949016,0,0,1.2895067,0,0,1.2895067,2.7608123,0,0,0,0,0,0,0,1.2895067,0,0,1.959358,0
1.60653401229412e+37,4.74757389113897,6.20669655557857,3.51708313940824,-1.043,2.5569296,0,1.6018034,0,0.49266848,1.3940641,0,0.859246,0,0.49266848,0,0,0,0,0,0,0.859246,0,0,0.49266848,1.3940641,0
1.87145999769932e+38,4.82192579905974,6.11345278718442,3.51708313940824,-1.043,3.0467515,0,1.8644415,3.7597983,0,0,0,0.7314591,0,0,0,0,0,1.2145195,0,0,0.7314591,1.2145195,0,0,0.7314591,0
2.56734722699917e+38,4.78631035214219,6.10977353952226,3.51708313940824,-1.043,2.8766105,0,2.0607784,2.7847273,0,0,0,0.5391926,0.5391926,0.5391926,0,0,0,0.5391926,0,0,0,0,0,0.5391926,0,0
2.68824437934654e+38,4.76657725096708,6.12902105191456,3.51708313940824,-1.043,2.0647702,0,3.2463768,0,1.0435016,1.0435016,0,0,0,0,0,0,0,0,0,0,0,1.642678,0,1.0435016,0,0
2.79253470406876e+38,4.80181164618355,6.07188345524706,3.51708313940824,-1.043,2.9294465,0,1.2739228,2.2575593,0,0.5584903,0,0,0,0.5584903,0,0,0,0,0,0,0.5584903,0.96010727,0,0,0,0
2.85957261097059e+38,4.72698536989365,6.10341638899631,3.51708313940824,-1.043,3.192565,0,2.9377062,1.6873475,0,0,0,0.7992644,0,0,0,0,0,0,0,0,0.7992644,0.7992644,0,0.7992644,0.7992644,0
