cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.02e+18,4.77446692,7.980600751,10.4,5.652,2.707,4.37,2.746,3.365,7.71,1.371,1.679,2.691,3.055,0.6343,6.39,5.95,0.04385,1.342,0.03192,0.4497,6.824,0.6143,1.129,0.1344,1.019,3.547,6.91,7.453,4.71,2.246,3.621,4.055,4.164,C57BL6J-638850.55
1.02e+18,4.543029839,8.058008329,10.4,2.02,7.35,3.453,7.617,2.523,9.44,3.39,3.121,3.363,4.83,0.506,3.812,4.57,0.0483,0.6177,0.04636,0.1637,5.363,0.08057,1.7295,0.04605,1.989,4.734,6.42,7.617,5.766,3.229,5.805,3.828,5.457,C57BL6J-638850.55
1.02e+18,4.684087372,7.995154985,10.4,2.26,7.008,4.004,7.42,3.021,9.07,3.256,3.031,2.855,3.982,0.6323,3.555,4.53,0.00302,0.5723,0.10474,0.3887,4.445,0.1063,2.318,0.1366,2.242,4.902,5.42,7.383,6.12,4.242,4.734,3.023,5.387,C57BL6J-638850.55
1.02e+18,4.676101901,7.898355554,10.4,3.05,6.54,3.438,6.03,1.795,7.51,1.032,1.182,1.73,6.688,0.0279,0.3123,2.156,0,0.1844,0,0.0653,1.487,0,0.917,0,0.2343,4.695,5.52,5.875,2.414,0.6895,4.63,1.864,0.7397,C57BL6J-638850.55
1.02e+18,4.882677753,7.831715929,10.4,0.4133,8.914,2.023,9.27,1.252,10.305,4.67,1.804,2.725,1.558,1.385,1.607,4.16,0.00546,0.06033,0,0.8687,3.734,0.2028,3.63,0.1172,3.271,4.926,3.82,8.5,6.938,6.605,5.098,3.123,8.12,C57BL6J-638850.55
1.02e+18,4.41110309,8.053128066,10.4,1.569,7.883,3.254,8.21,2.244,9.65,4.164,3.535,3.236,4.17,0.9697,3.557,3.86,0.00302,0.509,0.11194,0.3147,3.758,0.1254,2.271,0.0792,2.38,5.4,5.633,7.85,6.004,3.795,5.65,3.2,5.48,C57BL6J-638850.55
1.02e+18,4.812484144,7.865639736,10.4,0.579,8.74,2.896,9.24,1.264,10.15,5.133,2.684,2.041,2.201,1.085,1.993,3.064,0.0669,0.02953,0,0.8364,3.803,0.1268,3.846,0.0956,3.605,5.523,4.49,8.39,7.156,6.52,5.61,2.752,7.824,C57BL6J-638850.55
1.02e+18,4.723472,7.989674535,10.4,1.3,8.234,3.398,8.6,2.148,9.82,4.047,3.121,2.91,3.727,1.333,3.113,4.203,0.00302,0.3516,0.1562,0.5254,3.531,0.1006,2.71,0.1064,2.475,5.12,5.383,7.746,6.492,4.58,5.684,2.828,6.344,C57BL6J-638850.55
1.02e+18,4.895586215,8.00799663,10.4,0.878,8.53,2.8,8.914,1.573,9.99,4.816,2.877,2.191,2.87,1.064,2.562,3.201,0.02594,0.1367,0.04434,0.763,3.705,0.0934,2.998,0.1466,3.178,5.242,5.18,8.09,6.76,5.562,5.582,2.861,6.992,C57BL6J-638850.55
1.02e+18,4.907872126,7.892953261,10.4,1.129,8.42,2.684,8.76,1.634,10.05,4.47,2.428,2.174,3.477,0.9727,2.621,4.01,0.00848,0.06216,0.0923,0.6426,3.855,0.1008,3.324,0.0753,3.049,5.227,5.34,7.94,6.98,5.926,5.836,2.92,7.21,C57BL6J-638850.55
1.02e+18,4.81470206,7.894705057,10.4,0.8555,8.56,3.105,8.88,1.923,10.125,4.098,2.973,2.844,3.74,1.426,3.574,4.06,0.00302,0.3455,0.1342,0.636,3.81,0.1833,2.47,0.1508,2.236,4.89,5.21,7.855,6.11,4.105,5.79,3.088,6.277,C57BL6J-638850.55
1.02e+18,4.741556967,8.069508249,10.4,1.251,8.15,2.568,8.47,1.463,9.81,4.363,3.4,2.752,3.715,1.056,2.541,2.982,0.03111,0.3079,0.1154,0.664,3.688,0.0738,2.219,0.0524,2.51,5.043,5.645,8.08,5.797,3.896,6.176,2.959,5.996,C57BL6J-638850.55
1.02e+18,5.019583273,7.81450434,10.4,0.6416,8.88,2.521,9.21,1.271,10.18,4.973,2.803,2.51,1.892,1.244,2.123,3.326,0.00546,0.05905,0.02217,0.994,3.66,0.3135,3.5,0.10034,3.238,5.297,4.105,8.56,7.082,5.965,5.29,2.658,7.523,C57BL6J-638850.55
1.02e+18,4.90817585,7.87320113,10.4,0.7095,8.69,1.986,9.06,1.177,10.125,4.695,2.207,2.453,2.098,1.475,2.07,4.016,0,0.03168,0.1785,0.574,2.756,0,3.43,0.0998,2.996,4.91,4.395,8.5,6.914,5.926,5.438,2.693,7.797,C57BL6J-638850.55
1.02e+18,4.972388394,7.920402871,10.4,0.7275,8.484,2.691,8.93,1.54,9.89,4.246,1.932,2.531,2.133,1.305,2.037,4.023,0.02594,0.06033,0,0.907,3.219,0.1313,3.545,0.1407,2.916,5.133,4.3,8.15,6.957,6.26,4.965,2.998,7.69,C57BL6J-638850.55
1.02e+18,4.409189246,8.022434543,10.4,1.489,7.934,3.867,8.31,2.773,9.53,3.498,3.021,2.756,4.195,0.889,3.098,4.363,0.00302,0.4414,0.02315,0.5015,3.072,0.05478,2.604,0.11774,2.49,5.08,5.363,7.484,6.277,4.523,5.074,2.777,5.715,C57BL6J-638850.55
1.02e+18,4.76270525,7.871456053,10.4,0.5654,8.71,2.047,9.13,1.222,9.875,4.79,2.037,2.53,1.23,1.378,1.211,3.72,0.02594,0.02864,0,1.157,3.348,0.2866,3.836,0.1216,3.283,4.934,3.658,8.62,6.867,6.695,5.125,2.754,8.24,C57BL6J-638850.55
1.02e+18,4.521414629,8.131361933,10.4,2.078,7.297,3.084,7.566,2.096,9.34,3.441,3.57,3.195,4.312,0.1971,3.424,3.986,0.00302,0.6113,0.02576,0.3364,3.732,0.1476,1.646,0.11456,2.086,4.754,5.652,7.664,4.973,3.04,5.895,2.867,4.754,C57BL6J-638850.55
1.02e+18,4.934222199,7.933730334,10.4,1.982,7.215,3.393,7.523,2.412,10.01,2.908,2.523,3.303,3.738,0.1594,5.25,5.242,0.02567,0.6904,0.02576,0.1068,5.67,0.1497,1.937,0.07074,2.094,4.688,6.055,7.684,6.113,4.242,5.574,3.666,5.688,C57BL6J-638850.55
1.02e+18,4.862663072,8.033832814,10.4,1.466,7.938,3.16,8.33,2.115,9.74,4.35,3.281,2.977,3.855,0.977,3.357,3.764,0.00302,0.4187,0.0907,0.512,4.027,0.1454,2.598,0.0792,2.662,5.32,5.445,7.945,6.402,4.453,5.652,2.969,6.06,C57BL6J-638850.55
1.02e+18,4.873850028,7.850809843,10.4,1.261,8.3,2.965,8.625,1.936,9.95,3.85,2.244,2.322,3.613,0.9517,3.033,4.438,0.00302,0.0888,0.0923,0.4834,3.781,0.08057,3.049,0.0989,2.693,4.867,5.613,7.77,6.93,5.83,5.76,2.977,6.965,C57BL6J-638850.55
1.02e+18,4.410109836,7.920768504,10.4,1.337,8.14,2.86,8.52,2.107,9.805,3.643,1.971,2.176,4.473,0.6865,2.5,4.543,0.00302,0.1344,0.04794,0.4006,3.6,0.05457,2.781,0.0803,2.42,4.88,5.855,7.53,6.504,5.88,5.88,3.072,6.297,C57BL6J-638850.55
1.02e+18,4.744090416,7.890290057,10.4,0.4902,8.89,2.244,9.29,1.346,10.34,5.23,2.414,1.626,2.973,0.8774,1.692,3.113,0.02594,0,0.02217,0.922,3.242,0.02028,3.744,0.05673,3.615,5.613,4.72,8.06,7.05,6.863,5.812,2.848,7.785,C57BL6J-638850.55
1.02e+18,4.478068645,8.151602637,10.4,1.697,7.754,3.451,8.164,2.479,9.53,3.432,2.885,2.965,4.668,0.6714,3.428,4.57,0.00302,0.3901,0.02576,0.4585,3.754,0.08057,2.256,0.0846,2.277,4.83,5.938,7.477,5.973,4.26,5.793,3.055,5.957,C57BL6J-638850.55
1.02e+18,4.870119544,7.898942261,10.4,2.61,6.703,4.117,7.094,3.08,8.945,2.8,2.371,2.46,4.2,0.3574,2.926,4.297,0.00302,0.2644,0.07214,0.3066,4.46,0.1381,2.447,0.1665,2.084,4.824,5.492,7.113,6.25,4.883,4.6,2.586,5.43,C57BL6J-638850.55
1.02e+18,4.940752083,8.007875371,10.4,1.266,8.22,3.188,8.586,2.375,9.7,3.799,2.193,1.586,3.31,0.752,2.088,3.48,0.00546,0.0336,0,0.677,2.887,0.07495,3.072,0.143,2.855,5.156,4.78,7.453,6.49,5.76,4.79,2.44,6.65,C57BL6J-638850.55
1.02e+18,4.44506324,8.112148355,10.4,1.967,7.258,4.176,7.457,3.17,9.75,2.145,2.047,2.783,4.285,0.3289,5.19,5.973,0.02567,0.76,0.02322,0.12213,5.887,0.1754,1.859,0.06915,1.724,4.43,6.863,7.27,5.965,4.113,5.074,3.877,6.145,C57BL6J-638850.55
1.02e+18,4.793832804,8.032803545,10.4,1.6875,7.594,3.012,7.594,2.111,9.66,3.3,2.152,2.842,3.111,0.535,4.85,5.05,0.00302,0.9634,0.0719,0.1162,5.625,0.05347,1.614,0.06946,1.83,5.043,5.836,7.676,4.83,3.006,3.965,3.38,3.998,C57BL6J-638850.55
1.02e+18,4.828725344,7.952923503,10.4,2.496,6.797,4.293,7.15,3.291,9.06,2.586,2.771,3.197,4.473,0.2126,4.04,5.08,0.00302,0.55,0.02322,0.2177,4.844,0.1063,2.02,0.111,1.892,4.594,6.152,7.156,5.684,3.81,4.773,3.03,5.562,C57BL6J-638850.55
1.02e+18,5.064430271,7.716036229,10.4,1.964,7.29,3.236,7.645,2.254,10.11,2.543,1.616,2.322,2.846,0.6074,4.973,5.586,0,0.6484,0.03403,0.09906,5.78,0.1742,1.86,0.1451,1.605,4.22,6.195,7.703,6.03,4.785,4.934,3.492,5.246,C57BL6J-638850.55
1.02e+18,4.756657122,8.040753505,10.4,2.23,7.11,4.027,7.46,2.748,9.23,3.328,3.352,2.928,4.37,0.6377,3.549,4.707,0.00302,0.4023,0.0686,0.369,3.926,0.1254,2.262,0.1024,2.146,4.95,5.773,7.35,5.94,3.729,5.348,3.264,5.496,C57BL6J-638850.55
1.02e+18,5.076643864,7.706078358,10.4,1.514,8.086,3.564,8.35,2.348,9.6,4.156,2.922,2.783,3.12,1.29,2.742,3.678,0.00848,0.2998,0.1573,0.673,3.627,0.0559,2.938,0.1274,2.826,5.21,4.89,7.965,6.758,5.293,4.895,2.834,6.383,C57BL6J-638850.55
1.02e+18,4.778050744,8.060366454,10.4,1.613,7.633,3.045,7.824,2.096,9.75,3.541,3.191,3.768,3.734,0.4697,5.402,4.906,0.02567,1.136,0.0788,0.139,5.684,0.05347,1.502,0.03021,1.968,4.867,6.273,7.95,5.59,2.793,5.363,3.678,4.47,C57BL6J-638850.55
1.02e+18,4.932012672,7.944717547,10.4,2.51,6.8,3.393,7.207,2.662,8.98,3.363,2.436,2.457,4.31,0.389,3.281,4.65,0.00302,0.352,0.04892,0.3704,4.38,0.11224,2.533,0.135,2.41,4.977,5.703,7.305,6.426,5.34,5.383,3.17,6.305,C57BL6J-638850.55
