cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1.0181356141022e+18,3.56330009326122,8.07421800481279,10.4,7.113,1.866,7.992,1.965,7.246,4.312,0.672,3.764,2.516,4.426,0.6006,4.96,5.918,0,1.325,0.06464,0.5615,6.066,0.566,2.412,0.2008,1.704,4.555,6.387,5.105,6.34,4.297,1.962,4.68,6.344,C57BL6J-638850.55
1.0181356141022e+18,3.57360149267412,8.08239825114561,10.4,5.29,3.486,6.33,3.508,6.9,4.24,0.4744,2.057,2.049,3.07,0.2117,6.33,6.492,0,1.495,0.05948,0.2186,6.688,0.2837,1.61,0.4993,0.848,3.514,6.047,6.477,5.824,4.906,1.589,4.49,6.21,C57BL6J-638850.55
1.0181356141022e+18,3.51725137019351,8.03236944898769,10.4,7.36,1.443,8.23,1.539,6.31,4.75,1.333,3.326,2.402,4.992,0.9077,2.918,5.31,0,0.4124,0.05582,1.014,4.926,0.5894,3.531,0.0842,2.846,5.17,5.668,5.906,6.965,5.49,3.148,3.877,6.94,C57BL6J-638850.55
1.0181356141022e+18,3.6131527859073,8.16070531460673,10.4,7.574,1.518,8.31,1.47,7.42,3.549,0.888,4.582,2.92,4.496,0.67,3.652,5.023,0,0.9253,0.03506,0.819,4.945,0.482,2.77,0.0895,1.939,5.348,5.58,6.145,6.51,3.977,2.055,3.754,6.02,C57BL6J-638850.55
1.0181356141022e+18,3.61571896263678,8.22604633424121,10.4,7.414,1.625,8.03,1.687,6.93,4.285,0.911,2.865,1.926,4.176,0.5547,3.756,5.05,0,0.666,0.0389,0.907,5.223,0.576,3.059,0.3098,1.951,4.297,5.53,5.5,6.28,5.574,2.285,4.32,6.85,C57BL6J-638850.55
1.0181356141022e+18,3.65322246591986,8.10633187811185,10.4,6.742,2.66,7.13,2.781,6.168,4.746,0.6904,3.45,2.307,4.633,0.3513,3.492,5.004,0.02264,0.477,0.01314,0.4456,4.562,0.3833,2.783,0.04053,1.437,5.05,5.97,5.926,6.152,4.355,2.82,3.525,6.316,C57BL6J-638850.55
1.01813561410202e+18,4.12133396625543,7.75016697305214,10.4,7.92,0.8765,8.89,1.062,8.02,2.867,0.4302,3.902,2.41,2.938,0.4868,5.48,4.727,0,1.489,0.074,0.8076,4.867,0.945,2.412,0.34,1.753,4.69,4.66,3.664,7.207,4.617,0.862,4.31,7.152,C57BL6J-638850.55
1.0181356141022e+18,3.48810629538724,8.0584081724062,10.4,7.367,1.797,8.06,1.816,6.277,4.527,0.8867,2.592,2.44,4.875,0.5854,3.367,5.34,0.004097,0.773,0.1261,0.603,5.74,0.5493,2.58,0.2727,1.101,4.66,6.18,5.523,5.664,5.043,2.455,3.994,5.547,C57BL6J-638850.55
1.01813561410202e+18,4.11808468914954,7.58778965992596,10.4,7.35,1.549,8.43,1.612,7.695,3.2,0.4243,3.65,2.264,3.94,0.595,5.305,5.863,0,1.231,0.02948,0.373,5.566,0.852,2.314,0.189,1.473,4.703,6.754,4.906,6.81,4.61,1.38,4.37,7.098,C57BL6J-638850.55
1.01813561410239e+18,2.95699445190496,7.87261456037836,10.4,7.66,1.261,8.664,1.468,7.48,2.703,0.773,3.264,1.48,3.404,0.3489,3.498,4.145,0.02432,0.67,0.1163,0.9624,4.504,0.666,3.229,0.5205,2.312,5.082,4.566,4.31,7.477,5.79,1.241,3.621,6.9,C57BL6J-638850.55
