cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344100910421-7,3.77084871500542,8.07528179835688,8.8,6.242,0,10.4,0.397,1.321,0.4607,0,2.572,0.3657,0,0.3079,2.379,0.3115,0,0.1927,0.0699,0.7075,1.315,0,8.414,0,2.918,2.322,0.322,6.023,10.01,3.885,3.186,1.918,9.58,C57BL6J-638850.47
1018093344100910412-4,3.76303706437205,8.08898261667342,8.8,6.105,0,10.266,0.3171,1.461,0.4072,0.02922,2.207,0.4004,0.0854,1.517,3.31,0.4048,0,0.1652,0,0.7617,1.483,0,7.99,0.0871,3.018,1.402,0.3718,5.81,9.84,3.553,2.375,2.21,9.516,C57BL6J-638850.47
1018093344100910434-6,3.77864282663216,8.04794633859077,8.8,6.305,0,10.35,0.4858,1.418,0.4937,0,2.814,0.2164,0,1.77,2.293,0.2778,0,0.2202,0,0.7095,1.197,0,8.555,0,2.914,1.969,0.2954,6.016,10.04,4.066,2.568,1.904,9.52,C57BL6J-638850.47
1018093344100910446-3,3.78241426837014,8.05704129321223,8.8,5.855,0,10.29,0.3403,0.745,0.509,0,1.991,0.3503,0.05762,1.57,3.553,0.4216,0,0.1101,0,0.705,1.238,0,8.09,0,3.271,1.734,0.2408,5.715,9.6,3.148,2.525,2.16,9.32,C57BL6J-638850.47
1018093344100910429-4,3.7750809209567,8.06278621548343,8.8,5.934,0,10.43,0.3687,1.223,0.5005,0,2.223,0.3706,0.02881,1.602,2.693,0.382,0,0.1377,0,0.785,1.339,0,8.28,0,3.064,1.915,0.323,5.824,9.8,3.43,2.697,1.848,9.48,C57BL6J-638850.47
1018093344100910385-8,3.75093177972852,8.04270402762931,8.8,6.36,0.03012,10.336,0.6,1.237,0.6035,0,3.33,0.3208,0.03232,1.738,2.344,0.272,0,0.3027,0,0.895,1.163,0,8.625,0,3.346,2.527,0.2151,6.4,10.016,3.996,3.582,1.963,9.6,C57BL6J-638850.47
1018093344100910368-4,3.74295052029399,8.0861169708665,8.8,6,0,10.57,0.3652,0.7583,0.5645,0,2.99,0.3608,0,1.714,2.871,0.3127,0,0.2754,0,0.748,1.257,0,8.47,0,3.531,2.064,0.298,5.793,9.875,3.76,3.68,1.823,9.47,C57BL6J-638850.47
1018093344100910365-7,3.74104515489109,8.06153716825754,8.8,6.426,0.03012,10.32,0.5713,1.096,0.606,0,3.176,0.216,0.097,1.764,2.398,0.1683,0,0.1927,0,0.877,1.091,0,8.59,0,3.18,1.834,0.2141,6.387,10,4.06,2.666,2.12,9.484,C57BL6J-638850.47
1018093344100910407-7,3.76069280626919,8.07825179610296,8.8,6.113,0,10.37,0.3687,1.415,0.4722,0,2.18,0.406,0.05762,1.546,2.611,0.3472,0,0.1927,0,0.662,1.434,0,8.3,0,2.953,1.97,0.321,5.703,10.016,3.578,3.047,2.121,9.53,C57BL6J-638850.47
1018093344100910389-6,3.75186638133499,8.05192608720223,8.8,6.26,0,10.39,0.505,1.251,0.5674,0,3.066,0.2957,0,1.811,2.367,0.2188,0,0.3027,0,0.7305,1.162,0,8.58,0,3.395,2.436,0.2418,6.14,10,4.04,3.273,1.931,9.56,C57BL6J-638850.47
1018093344100910419-6,3.76610101526403,8.05589507182291,8.8,6.22,0,10.47,0.3923,1.117,0.5474,0,2.701,0.3591,0,1.709,3.158,0.3147,0,0.2202,0,0.7383,1.323,0,8.45,0,3.236,2.23,0.3508,6.17,9.91,3.803,2.992,1.838,9.46,C57BL6J-638850.47
1018093344200910296-1,3.69515522560004,8.06293161907552,8.8,6.28,0.0904,10.38,0.7217,0.6626,0.7544,0,3.607,0.2156,0.097,1.754,2.24,0.3027,0,0.2202,0,0.8525,0.746,0,8.78,0,3.31,1.686,0.1348,6.66,9.9,4.39,2.48,1.905,9.46,C57BL6J-638850.47
1018093344100910386-5,3.75262289515787,8.06178984405228,8.8,6.336,0.03012,10.32,0.665,1.525,0.5264,0,3.03,0.08246,0.06464,1.728,2.229,0.2507,0,0.1652,0,0.803,0.8496,0,8.64,0,2.754,2.41,0.2141,6.215,10,4.293,3.295,1.98,9.555,C57BL6J-638850.47
1018093344100910371-7,3.74611047700414,8.09232644531714,8.8,5.883,0,10.44,0.3079,0.898,0.5312,0,1.952,0.495,0.0927,1.463,3.219,0.4216,0,0.1451,0,0.724,1.244,0,8.04,0,3.299,1.499,0.2695,5.75,9.68,3.219,1.893,1.991,9.34,C57BL6J-638850.47
1018093344100910347-7,3.7289748925779,8.0646441937666,8.8,6.086,0,10.57,0.4536,1.008,0.636,0,3.31,0.4097,0,1.592,2.613,0.2761,0,0.3303,0,0.7534,1.244,0,8.56,0,3.59,1.927,0.298,6.156,9.945,3.955,3.186,1.681,9.45,C57BL6J-638850.47
1018093344100910462-7,3.79520339802896,8.04201057496041,8.8,6.297,0.03012,10.29,0.3992,1.1875,0.5586,0.02922,2.834,0.2776,0.1276,1.606,2.486,0.288,0,0.2003,0,0.8276,1.182,0,8.23,0.0668,3.223,1.88,0.32,6.215,9.766,3.906,2.076,2.049,9.414,C57BL6J-638850.47
1018093344100910589,3.89311945769148,8.03542104919803,8.8,6,0,10.29,0.345,1.335,0.4387,0.02922,2.17,0.34,0.0854,1.381,2.617,0.4377,0,0.1377,0,0.8003,1.463,0,7.977,0.0668,3.11,1.927,0.345,5.695,9.76,3.422,2.164,2.146,9.4,C57BL6J-638850.47
1018093344100910373-7,3.74588880097761,8.10417746913314,8.8,5.992,0,10.4,0.3403,1.258,0.5093,0,2.088,0.4363,0.05762,1.518,3.078,0.3809,0,0.1652,0,0.7236,1.418,0,8.24,0,3.11,2.096,0.2944,5.605,9.914,3.398,2.783,2.102,9.51,C57BL6J-638850.47
1018093344100910400-5,3.75826759188752,8.09952952771283,8.8,5.605,0.0596,10.04,0.2002,3.012,0.539,0.05844,1.613,0.548,0.2866,1.367,3.896,0.798,0,0.05505,0,0.923,1.713,0,7.227,0.727,3.418,2.434,0.297,5.1,9.24,2.777,2.06,2.936,9.31,C57BL6J-638850.47
1018093344100910361-6,3.74121996153213,8.04419203584196,8.8,6.305,0,10.38,0.575,1.229,0.69,0,3.354,0.2952,0.03232,1.6875,2.34,0.2124,0,0.3027,0,0.7485,0.98,0,8.7,0,3.346,2.45,0.1882,6.523,9.97,4.28,3.324,1.861,9.6,C57BL6J-638850.47
1018093344100910292-6,3.69013249936522,8.05360935048713,8.8,6.363,0,10.32,0.5464,1.415,0.5225,0,2.688,0.1907,0,1.69,2.229,0.25,0,0.1927,0,0.67,1.196,0,8.53,0,2.834,2.225,0.2944,6.207,10.03,4.066,3.207,1.974,9.555,C57BL6J-638850.47
1018093344100910291-6,3.68704209808592,8.08913961195876,8.8,6.082,0,10.36,0.4255,1.315,0.5312,0,2.4,0.253,0.03506,1.7705,2.389,0.2404,0,0.2554,0,0.637,1.106,0,8.29,0,3.297,2.105,0.2418,6.125,9.7,3.668,2.936,1.972,9.52,C57BL6J-638850.47
