cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344100900085-3,3.60746049477925,8.37871817768566,8.8,8.125,0.4155,7.63,0.4463,5.78,9.41,2.098,4.926,6.15,4.38,1.011,2.209,0.514,0.00277,0.783,0.0723,1.731,4.14,1.1045,0.9565,0.108,1.149,3.527,5.47,3.81,2.996,6.816,0.2737,5.047,7.67,C57BL6J-638850.47
1018093344100900069-5,3.58162462485519,8.40490170843392,8.8,8.04,0.3584,6.207,0.4485,6.26,8.95,2.041,5.15,7.3,4.06,0.9375,1.636,0.3757,0.004173,0.7236,0.11005,1.735,3.518,1.518,0.96,0.12085,1.251,2.781,5.22,4.74,2.14,6.5,0.4592,5.008,8.22,C57BL6J-638850.47
1018093344100900080-4,3.60091551911603,8.38493432536013,8.8,8.15,0.553,7.348,0.4995,5.09,9.16,1.8955,5.12,6.21,4.484,1.029,2.068,0.4443,0.001365,0.7456,0.08795,1.972,3.604,0.722,1.052,0.08264,1.172,3.635,5.887,4.258,3.293,7.152,0.3113,4.67,7.793,C57BL6J-638850.47
1018093344100900075-2,3.59120681880046,8.38389490219894,8.8,8.17,0.3909,7.58,0.3892,6.258,9.29,2.191,5.207,6.613,4.664,1.148,1.751,0.3372,0.00277,0.704,0.04395,1.852,3.547,1.251,0.9375,0.0856,1.265,3.613,5.39,4.297,3.467,6.89,0.4429,4.906,8.305,C57BL6J-638850.47
1018093344100900073-4,3.58776047718438,8.39932047117142,8.8,8.13,0.353,6.688,0.435,5.99,9.06,1.745,5.133,6.707,4.484,1,2.271,0.3083,0.0248,0.732,0.11115,1.713,3.912,1.5,0.961,0.1323,1.103,3.412,5.156,4.375,2.393,6.836,0.5015,4.73,7.81,C57BL6J-638850.47
1018093344100900074-2,3.59119948072781,8.41943088665636,8.8,8.086,0.478,6.34,0.4207,6.273,9.08,2.346,5.32,7.07,4.203,1.037,1.976,0.4014,0.00277,0.758,0.0689,1.702,3.916,1.142,0.6724,0.1462,1.057,3.178,5.523,4.484,2.227,6.613,0.332,5.18,8.12,C57BL6J-638850.47
1018093344100760162-3,3.11370827757235,7.91883540925684,8.8,7.457,1.51,9.26,1.558,6.207,8.83,0.982,4.363,4.68,4.426,0.977,2.797,2.836,0.02432,0.1763,0.1249,0.8086,4.156,0.7393,2.936,0.3489,2.271,3.924,5.074,3.32,4.633,6.54,1.207,3.895,7.58,C57BL6J-638850.47
1.01715595610145e+18,4.05650510599822,7.91763977712154,9,7.56,0.3867,4.97,0.434,5.938,8.64,1.778,4.92,7.723,3.611,0.88,1.552,0.4153,0.02528,0.9575,0.0676,1.908,3.23,0.8667,0.6904,0.3225,0.8457,2.293,5.25,5.324,1.36,5.695,0.4941,5.47,8.055,C57BL6J-638850.48
1.01715595610098e+18,2.92850738135865,7.42247463052043,9,5.46,4.164,9.85,3.592,1.567,8.39,0.8174,4.277,3.785,5.773,0.698,1.963,0.233,0.1313,0.366,0.10547,1.62,3.508,0,0.9873,0.02548,0.719,4.332,4.324,2.488,6.316,6.688,1.453,1.686,5.484,C57BL6J-638850.48
1.01715595610113e+18,3.18005187904108,7.7493615520873,9,8.16,0.3035,9.4,0.5117,5.24,9.164,1.265,4.324,5,4.99,0.935,1.829,0.447,0.02339,0.861,0.1076,1.919,3.975,0.892,1.234,0.08105,1.18,3.854,5.586,3.645,4.79,7.45,0.4358,4.4,7.516,C57BL6J-638850.48
1.01715595610146e+18,4.01049304363887,7.77228161358851,9,8.3,0.3525,8.234,0.2693,6.207,8.586,1.218,4.348,6.27,3.4,0.975,2.336,0.3774,0.001405,0.3162,0.03827,1.502,3.652,1.74,1.769,0.0862,1.65,3.076,4.074,2.65,2.67,6.26,0.33,3.936,6.85,C57BL6J-638850.48
1.01715595610098e+18,2.9248965707983,7.43275236292912,9,7.363,1.478,9.72,1.545,6.355,9.31,1.268,4.62,4.71,4.504,0.4932,2.922,4.22,0.02432,0.498,0.0648,0.968,4.43,0.5566,2.969,0.3572,1.634,3.973,5.285,2.463,4.418,5.945,1.801,3.268,7.24,C57BL6J-638850.48
1.01715595610097e+18,3.04151423176556,7.52488471504866,9,7.254,1.729,8.85,1.893,6.562,9.27,1.239,5.125,5.543,4.707,0.4392,2.4,2.71,0.02432,0.1523,0.0665,1.001,3.688,0.8115,3.49,0.39,2.559,3.922,4.848,3.693,4.555,5.95,1.603,3.547,8.07,C57BL6J-638850.48
1.01715595610098e+18,2.89555061423803,7.40246336143962,9,3.727,5.652,8.7,5.938,7.17,9.086,1.7705,4.887,5.31,3.932,0.1714,2.896,4.02,0,0.2534,0.02576,0.255,3.555,0.0793,1.924,0.1937,1.442,3.611,4.797,3.37,4.062,3.78,3.959,2.363,8.08,C57BL6J-638850.48
1.01715595610097e+18,2.93450855390411,7.47279723594613,9,7.914,0.903,9.164,1.173,7.18,8.914,0.993,4.72,5.395,3.59,0.528,4.094,2.29,0.02432,0.4246,0.09656,1.318,3.94,1.049,2.717,0.2937,2.201,3.818,4.496,1.968,3.643,6.18,0.7905,3.965,7.277,C57BL6J-638850.48
