cell_label,x,y,z,brain_section_label,Drd1,Drd2,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Mc4r,Npy1r,Npy2r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3
1.09183160448577e+36,4.82573712658318,6.12552070631983,3.51708313940824,-1.043,0,2.3801427,0,5.857249,0.8194278,0,0,1.1023618,0,0,0,0,0,0,0,0,0.46712604,0,0,0,0.8194278,0
1.1301257665942e+38,4.70331795855546,6.12316825550386,3.51708313940824,-1.043,0,2.2613387,0,5.345834,1.771714,0,0,0.42754388,0,0,0,0,0,0,0,0,0.42754388,0,0,0.42754388,0.42754388,0
1.16340955714175e+38,4.83638980032086,6.16595274819114,3.51708313940824,-1.043,0,1.7385857,0,5.774861,0,1.7385857,0,1.7385857,0,0,1.7385857,0,0,0,0,0,0,0,0,0,0,0
1.28597630090836e+38,4.67709069622205,6.12616276166143,3.51708313940824,-1.043,0,2.0131035,0,6.067032,0,0,0,1.3324205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7101616500356e+38,4.79473126724142,6.10056008312408,3.51708313940824,-1.043,0,2.2516506,1.0530665,5.9851875,1.6552927,0,0,0,0.6205561,0,0,0,0,0,0,0,0,0.6205561,0,0,0.6205561,0.6205561
2.95554466086958e+38,4.68672678719991,6.11662290613111,3.51708313940824,-1.043,0,2.8107574,0,5.7161746,0.8949179,0,0,0.8949179,0,0,0,0,0,0,0,0,0,0,0,0,0.8949179,0
3.13108616658694e+38,4.84569116426395,6.18019780909687,3.51708313940824,-1.043,0,1.0550014,0,5.9134784,0,1.0550014,0,0,0,1.0550014,0,0,0,0,0,0,0,1.0550014,0,0,0,0
3.66025299220602e+37,4.81676047100654,6.14850794329356,3.51708313940824,-1.043,0,0.7832224,0,6.3339114,0.7832224,0.44412133,0,0,1.2880284,0,0,0,0,0,0,0,0,0.7832224,0,0,0,0
5.79977440472794e+37,4.83295215542267,6.15937456256338,3.51708313940824,-1.043,0,2.7299469,0,5.652493,1.5251187,0.55535084,0,0.55535084,0,0.55535084,0,0,0,0,0.55535084,0,0,0.55535084,0,0,0,0
1.33796636031982e+38,4.61791891452056,6.07272967047232,3.51708313940824,-1.043,0,2.2549698,0.55743986,5.0475626,0.55743986,0,0,0.55743986,0,0,0,0,0,0,0,0,0,0,0,0,1.9373187,0
3.39235429426574e+38,4.66253628729616,6.06257611589081,3.51708313940824,-1.043,1.1718551,2.0470254,0.70177615,4.0032554,1.1718551,0,0,0,0,0.70177615,0,0,0,0,0,0,0,0.70177615,0,0,1.5258273,0
7.42418121041206e+37,4.70937642696473,6.08212012869738,3.51708313940824,-1.043,0,2.6526325,0,5.798156,1.4660851,0,0,0,0,0,0,0,0,0,0,0,0,1.4660851,0,0,0,0
1.58576828808706e+38,4.40774345506623,5.94934365877252,3.51708313940824,-1.043,0.5849625,2.7004397,0,5.539159,0.5849625,0,0,1.3219281,0,0,0,0,0,0,0,0,0,1,0,0,0.5849625,0
3.16477687562146e+38,4.39751900482508,5.92969288379001,3.51708313940824,-1.043,0,1.989658,0,5.7279205,1.3136605,0,0,0,0,0,0,0,0,0,1.3136605,0,0,0,0,0,1.3136605,1.3136605
1.04703390209677e+38,4.49298646649955,6.09594121641958,3.51708313940824,-1.043,0.72424656,2.910805,0.40710124,4.492958,1.2041878,0,0,2.5583367,0,0.72424656,0,0,0,0.40710124,0,0,0.40710124,0.40710124,0,0.40710124,2.296377,0.40710124
1.35240611794336e+38,4.4136423118552,6.05656381325829,3.51708313940824,-1.043,0,2.6590784,0,5.2307224,0.99769354,0,0,2.2187662,0,0,0,0,0,0,0,0,0,0,0.41388473,0.41388473,1.871113,0.41388473
1.80762424806678e+38,4.47892375464122,6.04741299858481,3.51708313940824,-1.043,0.46566358,1.8744692,0,4.9586215,0.46566358,0,0,0.46566358,0,0,0,0,0,0,0.46566358,0,1.0995357,0.46566358,0,0,2.0170736,0
2.32772301618839e+38,4.4557784792144,6.13442608755274,3.51708313940824,-1.043,0,2.4369864,0,4.061613,1.5667003,0.5758603,0,0.9863251,0,0.5758603,0,0,0,0,0.5758603,0,0.5758603,0.5758603,0,1.3055025,2.5620985,0
2.60154915573563e+38,4.48975799334099,6.13058123343509,3.51708313940824,-1.043,0.53241867,2.1924517,0,5.6337905,0.53241867,0,0,1.69232,0,1.2259262,0,0,0,0,0,0,0.53241867,0,0,0.53241867,0.9204487,0.53241867
3.21121082873888e+38,4.47074429105141,6.0749818171591,3.51708313940824,-1.043,0.74444073,2.3368397,0,4.699719,0,0,0,1.0093379,0,0.41971397,0,0,0,0,0.41971397,0,0,0,0,0.41971397,1.2330594,0
3.2243926511253e+38,4.54268428780168,6.06723474996617,3.51708313940824,-1.043,0,2.4885082,0,4.8415627,1.2531374,0,0,0.547151,0,0,0,0,0,0,0,0,0.547151,0.547151,0,0,2.0801055,0
3.29444563440984e+38,4.53109767719145,6.0785866638402,3.51708313940824,-1.043,0,1.9387704,0,5.972154,0.6477819,0,0,0.6477819,0,0,0,0,0,0,0,0,0,0.6477819,0,0,0,0
6.16135147268059e+37,4.44680075022384,6.04536218363236,3.51708313940824,-1.043,0,2.4314535,0,4.5670724,1.6768014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301464,2.6151245,0
1.17662117774445e+38,4.58331992455637,6.14145151341553,3.51708313940824,-1.043,0,2.788496,0,5.7279205,1.1255308,0,0,1.1255308,0,0,0,0,1.1255308,0,0,0,0,0,0,0,0,0
1.35586595592608e+38,4.5951698318244,6.18469556331926,3.51708313940824,-1.043,0,3.3742564,0,5.038079,0,1.5229967,0,2.2472434,0,1.5229967,0,0,0,0,0,0,0,1.5229967,0,0,0,0
1.53414487060158e+38,4.59114355036086,6.14765089901421,3.51708313940824,-1.043,0,1.662965,0,5.8948174,0.90046436,0,0,1.4506614,0,0,0,0,0,0,0,0,0.51937413,0,0,0,0.51937413,0
1.52815021663082e+37,4.38262849066081,6.23220413113377,3.51708313940824,-1.043,0.42939278,2.7107604,0,5.9464192,0.75986594,0,0,1.9158396,0.75986594,0.42939278,0,0,0,0,0,0,0.75986594,0,0,0.42939278,0,0.42939278
1.06321980619842e+38,4.32811705268593,6.11252297864459,3.51708313940824,-1.043,0.55743986,2.2549698,0.9585166,4.751734,1.2720028,0,0,2.2549698,0,0,0,0,0,0,0,0,0.9585166,0.55743986,0,0.9585166,0.55743986,0
1.51283597977589e+38,4.3160376178969,6.10578503763674,3.51708313940824,-1.043,0.929297,2.6839404,0,5.8346496,0.929297,0.929297,0,2.8738987,0,0,0,0,0,0,0,0,0,0.929297,0,0,0.929297,0.929297
2.4826815125237e+38,4.3274558353927,6.11229971859584,3.51708313940824,-1.043,0,2.9117856,0,4.8850384,0,0,0,2.5592759,0,0,0,0,0,0,0,0,0,0.86051494,0,0,0.86051494,0.86051494
2.76037210981987e+38,4.32621134778152,6.06345475014948,3.51708313940824,-1.043,0,1.2691346,1.2691346,1.2691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76984346,0,0,0.76984346,0
3.03220706541215e+38,4.30373752925266,6.17638034678766,3.51708313940824,-1.043,0,2.926602,0,4.7767725,1.4064244,0,0,2.3581104,0,0,0,0,0,0,0.86821014,0,1.4064244,0.86821014,0,0.86821014,0.86821014,0
6.98146076150197e+37,4.31213018011351,6.05854751207775,3.51708313940824,-1.043,0,2.5878565,0,4.58829,1.3240124,0.58612084,0,2.9099004,0,0,0,0,0,0,0.58612084,0,0,0,0,0,0.58612084,0
9.7190635287036e+37,4.34559172320796,6.15656117513035,3.51708313940824,-1.043,0,1.4739312,0,4.943817,0.91753787,0.5305147,0,2.0395284,0,0,0.5305147,0,0,0,0,0,0.91753787,0,0,0,0.5305147,0
1.23017727799093e+38,4.10764065098172,6.04705694728279,3.51708313940824,-1.043,0,3.2039607,0,4.417706,0.4099003,0,0,1.9845333,0,0,0,0,0,0,0,0,0.4099003,0,0.4099003,0.4099003,2.206185,0
1.7576623864557e+38,4.05037613780856,5.96635060143262,3.51708313940824,-1.043,0,1.7934395,0,4.973564,0.8656294,0,0,1.7934395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.87734135404264e+38,4.01026634741704,6.10715585907572,3.51708313940824,-1.043,0,0,0,5.136618,0,0,0,2.5564613,0,0,0,0,0,0,0,0,0,0,0,0.98296684,0.98296684,0
1.99624635920534e+38,4.1201355533727,6.01588713961406,3.51708313940824,-1.043,0,2.6945868,0,4.740189,1.401688,0,0,2.0990293,0,0.6298167,0,0,0,0,0,0,0.6298167,0,0,0,0,1.401688
2.15866339978582e+38,4.06404829275891,5.97459661665478,3.51708313940824,-1.043,0.5979652,2.9404569,1.0194603,4.4291615,1.3452492,0,0,2.3529398,0,0,0,0,0,0,0,0,0.5979652,1.0194603,0,0,2.2000842,0.5979652
