cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344102120643-3,2.19377982534921,7.62589885671537,8.8,8.125,0.8384,9.086,0.8896,7.12,1.696,0.4277,2.236,0.7803,1.35,0.4463,4.484,1.822,0.02432,0.04962,0.133,1.09,3.816,0.95,3.582,0.5522,2.547,4.207,3.791,3.611,8.14,6.266,0.627,4.082,6.914,C57BL6J-638850.47
1018093344101960247-1,2.82830078868314,7.7853431431561,8.8,7.7,1.252,8.82,1.253,6.918,2.848,0.697,2.508,1.143,1.956,0.3894,4.07,2.316,0.02432,0.11084,0.1556,0.926,3.998,0.5684,3.145,0.378,2.574,4.574,4.26,3.717,7.816,7.035,0.52,3.887,6.652,C57BL6J-638850.47
1018093344102120138-4,2.55535152014902,7.57108434965156,8.8,7.63,0.966,8.445,0.567,6.93,1.282,0.9106,1.727,2.596,1.875,0.7344,5.77,4.715,0.04355,0.7466,0.1351,1.278,4.14,0.964,3.258,1.096,1.972,3.635,4.824,4.55,6.703,3.156,1.129,3.916,8.09,C57BL6J-638850.47
1018093344101970160-3,3.05752953206773,7.71261176909215,8.8,8.03,0.613,8.94,0.7783,6.855,1.366,0.5254,1.883,0.603,1.869,0.499,5.074,2.326,0,0.1309,0.0829,1.037,4.06,1.237,3.781,0.8267,2.592,4.22,4.13,4.25,7.76,5.42,0.78,4.46,7.64,C57BL6J-638850.47
1018093344102120456-5,2.29747941018317,7.45350062785024,8.8,7.96,0.8916,8.98,1.074,7.016,2.639,0.715,2.291,1.158,1.973,0.3372,4.94,2.396,0.02432,0.1387,0.1117,1.16,3.617,0.8022,3.28,0.7437,2.385,4.26,4.066,3.97,7.598,6.23,0.734,3.635,7.504,C57BL6J-638850.47
1018093344101970342-4,2.94574004813401,7.63531160366237,8.8,8.1,0.7725,9.09,0.927,7.04,2.123,0.3525,2.227,1.019,1.717,0.412,4.73,2.693,0.02432,0.1036,0.0879,1.077,3.889,0.9463,3.402,0.723,2.572,4.258,4.453,4.02,7.957,6.062,0.7534,3.97,7.47,C57BL6J-638850.47
1018093344102120476-5,2.27522952635947,7.59346843982956,8.8,8.09,0.9033,9.055,1.008,7.234,2.105,0.5396,2.318,1.0205,1.564,0.3335,4.652,1.71,0.04865,0.0849,0.173,1.035,3.727,0.833,3.486,0.4365,2.42,4.293,3.793,3.537,7.992,6.34,0.6187,4.047,7.31,C57BL6J-638850.47
1018093344101960135,2.97837231289493,7.79123119021786,8.8,8.04,0.792,9.086,0.951,6.98,1.585,0.4922,2.354,1.0205,1.532,0.5894,5.523,1.854,0.07294,0.194,0.10944,1.123,3.947,1.055,3.707,0.9053,2.45,3.906,3.807,3.748,8.07,6.176,0.874,4.508,7.793,C57BL6J-638850.47
1018093344102110246-2,2.25901371192043,7.72649449201472,8.8,8.12,0.4192,9.34,0.477,4.965,1.917,0.10156,1.629,0.794,0.516,0.4597,1.494,0.4521,0,0,0.2625,1.486,2.418,0.0813,4.445,0.02129,3.12,5.734,1.755,3.139,8.555,7.38,0.2167,4.227,3.69,C57BL6J-638850.47
1018093344202110249,2.19603318487591,7.72580019386651,8.8,7.81,0.05276,8.46,0.5146,3.723,1.667,0.339,1.354,0.1536,0.561,0.5757,0.5977,0.3184,0,0,0.1708,2.592,1.115,0,3.691,0.001419,2.629,5.64,0.1825,1.819,7.977,3.72,0.3926,2.994,0.7563,C57BL6J-638850.47
