cell_label,x,y,z,brain_section_label,Drd1,Drd2,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Mc4r,Npy1r,Npy2r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3
1.07371595104482e+38,4.53856967427446,6.11758956913052,3.46210796503048,-2.02,2.984929,0,2.891964,0,0,0.99140733,0,0.5792398,1.3116108,0.5792398,0,0,0,0,0,0,0.99140733,1.5734942,0.5792398,0.5792398,1.7950641,0
2.0892897881512e+38,4.51984833384736,6.08179654777248,3.46210796503048,-2.02,2.9134219,0,2.0932274,0,0,1.0628161,0,0,1.6681238,0,0,0,0,1.0628161,0,0,0,0,0,0,0,0
2.27436362567604e+38,4.52212323939021,6.10843228691983,3.46210796503048,-2.02,0,0,3.2820354,0,0,0,0,0,1.9668331,0,0,0,0,0,0,0,0,2.4232116,0,0,0,0
2.36443248417135e+37,4.52090268673447,6.0817063501073,3.46210796503048,-2.02,3.537575,0,2.656753,0,0,0,0,1.0435016,1.642678,0,0,0,0,0,1.642678,0,1.642678,1.0435016,0,2.3909147,0,0
2.59825734583029e+38,4.57103832451548,6.13354586356659,3.46210796503048,-2.02,3.0264044,0,0.7780206,0,0,0,0,0,0,0,0,0,0,1.280691,1.280691,0,0.7780206,1.948267,0,0,3.4603329,0
2.60727144279616e+38,4.51244156395484,6.14211109459114,3.46210796503048,-2.02,2.60245,0,0,1.2924739,0,0.7863778,0,0.7863778,1.2924739,4.9744844,0,0,0,0,0,0,0.7863778,0.7863778,0,1.2924739,1.9630873,0
2.72851698107972e+38,4.53065390105,6.10514173503093,3.46210796503048,-2.02,2.0178697,0,1.1505214,0,0,1.1505214,0,0,0,0,0,0,0,0,1.1505214,0,0,0.68703437,0,0,1.1505214,0
2.83500158409861e+38,4.51564053259829,6.10846006537405,3.46210796503048,-2.02,2.9602537,0,1.7052567,0.81033874,0.81033874,0,0,1.3261037,0.81033874,1.3261037,0,0,0,0,0,0,0,0.81033874,0,0,2.2534192,0
3.04722862258341e+38,4.51041036996749,6.07503713268744,3.46210796503048,-2.02,2.0412798,0,0,0,0.83108777,0,0,0,0.83108777,0,0,0,0,0.83108777,0.83108777,0,0,1.3550458,0,0,0,0
3.20564527588005e+38,4.51547470461467,6.16301953567372,3.46210796503048,-2.02,2.5830376,0,2.5830376,1.413594,0,0,0,1.413594,0,1.413594,0,0,0,0,0,0,0,0,0,1.413594,1.413594,0
5.90096699285722e+37,4.54090826958121,6.16740484518105,3.46210796503048,-2.02,0,0,4.087463,1.2954559,0,0,1.2954559,0,2.4232116,0,0,0,0,0,0,0,0,0,0,0,1.2954559,0
6.01507608714193e+37,4.49941795223779,6.07467599646378,3.46210796503048,-2.02,2.4481459,0,3.075288,1.3136605,0,1.3136605,0,0,0,0,0,0,0,0,0,0,1.3136605,0,0,1.3136605,2.4481459,0
1.11350179158447e+38,4.48612293095698,6.07485581636081,3.46210796503048,-2.02,2.355809,0,3.4978716,1.6132514,0,0,0,0,2.355809,0,0,0,0,0,0,0,1.6132514,0,0,0,0,0
1.15071928135942e+38,4.34844127337506,6.11439983160767,3.46210796503048,-2.02,3.2934048,0,2.1048691,0,0,0,0,0,1.0707527,1.0707527,0,0,0,0,0,0,2.4335248,1.0707527,0,0,0,0
1.26271702659129e+38,4.45322645729905,6.09860132117308,3.46210796503048,-2.02,2.2319784,0,2.4911406,2.9013228,0,0.94444203,0,0,1.9158396,0,0,0,0.94444203,0,0,0,0,0,0,0,0.94444203,0
1.31286968339625e+38,4.45536562432297,6.11874110061273,3.46210796503048,-2.02,3.2768745,0,1.1646519,0,0,0,0,0,0.6967912,0.6967912,0,0,0,0,1.1646519,0,0,0.6967912,0,0.6967912,2.0371985,0
1.47141117773585e+38,4.28498938834252,6.12851885463339,3.46210796503048,-2.02,2.9365907,0,2.1137004,0,1.413594,0,0,1.413594,1.413594,2.9365907,0,0,0,0,0,0,0,0,0,1.413594,2.5830376,0
1.67600115845678e+38,4.3654048989893,6.11889840920226,3.46210796503048,-2.02,3.4565248,0,1.7235948,0,0,1.3420173,0,0.8217328,1.3420173,3.1169097,0,0,0,0.8217328,0,0,0.8217328,0.8217328,0,0.8217328,0,0
1.69057009701879e+38,4.31208820465764,6.07463021399035,3.46210796503048,-2.02,3.2434542,0,0,3.2434542,0.95693123,0.95693123,0,1.5272471,0,0,0,0,0,0,0.95693123,0,0,0,0,0.95693123,0,0
1.80463269929968e+38,4.4101604275132,6.13674748867412,3.46210796503048,-2.02,3.4552352,0,2.8033986,3.1658218,0,0,0,0.73512065,1.2197561,0,0,0,0,0,0,0,0,1.2197561,0,0,2.318236,0
1.83502329299638e+38,4.47084684484241,6.11295437987322,3.46210796503048,-2.02,2.9365907,0,2.1137004,0,0,1.413594,0,0,0,0,0,0,0,0,0,0,0,1.413594,0,0,0,0
1.87813635111343e+38,4.42543570560167,6.12950784366447,3.46210796503048,-2.02,1.4660851,0,1.4660851,4.0759096,0,0,0,0,2.1780527,1.4660851,0,0,0,0,0,0,0,0,0,1.4660851,1.4660851,0
1.9053259696808e+38,4.46232479956336,6.13271877481703,3.46210796503048,-2.02,1.7734076,0,0,0,0,1.7734076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9415661818181e+38,4.3258026720418,6.13643956066556,3.46210796503048,-2.02,4.1085243,0,1.662965,0,0,0,0,0,0,1.0588937,0,0,0,0,0,0,1.0588937,1.662965,0,0,0,0
1.95136791908101e+38,4.31370805012012,6.04847262074449,3.46210796503048,-2.02,3.0528061,0,1.0304112,0.60530776,1.0304112,0.60530776,0,1.0304112,0,0,0,0,0,0,0.60530776,0,1.3583455,1.0304112,0,0,0,0
1.96304404660183e+38,4.45920997125031,6.09593152208312,3.46210796503048,-2.02,3.4678686,0,0.8786937,0,0.8786937,0.8786937,0,0.8786937,0.8786937,1.8139881,0,0,0,0,0,0,0,2.1226192,0,0,0.8786937,0
1.9824418363787e+38,4.38995763301162,6.09110856000897,3.46210796503048,-2.02,2.702021,0.8853795,1.987458,2.7930121,0.8853795,0.8853795,0,0.5095694,0.8853795,0.5095694,0,0,0,0,0.5095694,0,1.1832488,1.4300182,0,1.1832488,0.8853795,0
1.99512672132068e+38,4.33684137518081,6.08947457624685,3.46210796503048,-2.02,3.0307622,0,2.090917,0,0.72424656,0.72424656,0,2.779961,1.5637014,2.6360564,0,0,0,0.72424656,0,0,0,0.72424656,0,0.72424656,0.72424656,0
2.03911265575002e+38,4.34921172876221,6.08308630736417,3.46210796503048,-2.02,3.1059723,0,1.428173,0,0,0.884034,0,0.884034,0.884034,0,0,0,0,0,0,0,0.884034,0,0,0.884034,0,0
2.09096218912671e+38,4.39913969366466,6.17015208593504,3.46210796503048,-2.02,3.1536002,0,3.3526442,0,0,1.2119191,0,0,0,0,0,0,0,0,0,0,0,1.2119191,0,0,1.8611263,0
2.12688824602332e+38,4.44602375639566,6.16574967211382,3.46210796503048,-2.02,2.8823025,0,1.9623402,2.3379138,0,0,0,1.4532076,0,2.1623142,0,0,0,0,0,0,1.1102124,1.4532076,0,0.6593649,0.6593649,0
2.18906169991893e+38,4.47004961789151,6.10066664583091,3.46210796503048,-2.02,3.1559181,0,1.091148,0,1.091148,0,0,0,0,0,0,0,0,0,1.091148,0,1.091148,1.7052568,0,0,1.091148,0
