cell_label,x,y,z,Drd1,Drd2,Tac1,Adora2a,Pdyn,Penk,Oprd1,Oprk1,Oprm1,Cnr1,Agrp,Cartpt,Nts,Hcrtr1,Hcrtr2,Lepr,Irs1,Irs2,Mc4r,Npy1r,Npy2r,Npy5r,Mme,Htr1b,Htr2c,Htr4,Otof,Chrm3,Plxnc1,Nrp2,brain_section_label
1018093344102120610-2,2.2158265806899,7.58259651549337,8.8,7.934,0.8643,9.45,0.929,7.887,9.07,0.946,4.766,4.8,3.244,0.4275,3.98,2.021,0,0.2079,0.1105,1.242,3.734,1.315,2.58,0.256,2.086,3.402,3.984,1.816,3.547,5.93,0.7065,3.547,7.793,C57BL6J-638850.47
1018093344102120304-3,2.43389992502985,7.71204047674638,8.8,7.715,1.225,8.875,1.265,5.887,8.875,0.902,4.28,5.07,4.285,0.4502,2.46,3.025,0.02432,0.2842,0.04395,1.098,4.31,1.045,2.783,0.4126,1.908,3.547,4.91,3.758,4.215,6.133,1.053,4.023,7.543,C57BL6J-638850.47
1018093344102120421-5,2.32934122857062,7.5875428869859,8.8,8.15,0.751,9.46,0.7373,7.086,9.47,0.5317,4.934,4.83,4.477,0.355,3.045,1.383,0.02432,0.1593,0.1388,1.263,3.182,0.566,2.934,0.1153,2.24,3.715,3.28,2.793,4.22,6.65,0.426,3.24,8,C57BL6J-638850.47
1018093344102110179-3,2.40762267908221,7.77503096643538,8.8,8.15,0.4402,8.125,0.397,5.445,9.4,1.772,4.598,6.023,4.848,0.7656,1.658,0.436,0.02339,0.6533,0.08215,1.738,3.51,0.877,1.12,0.08264,1.201,3.842,5.4,4.125,3.678,7.07,0.4165,4.383,7.688,C57BL6J-638850.47
1018093344102110191-2,2.38535848834744,7.80201381046212,8.8,8.02,0.2969,6.363,0.4404,6.668,9.1,1.977,5.047,7.44,4.03,0.833,1.802,0.4082,0.00281,0.781,0.11005,1.695,3.451,1.527,0.98,0.12085,1.202,2.584,5.16,4.645,1.708,6.56,0.539,5.06,8.414,C57BL6J-638850.47
1.0171559561026e+18,2.38625627069106,8.0319749293415,9,8.19,0.491,8.23,0.5303,5.34,9.41,1.735,4.582,5.914,4.867,0.8887,1.553,0.5137,0.02339,0.6694,0.10913,1.972,3.549,0.991,1.32,0.08264,1.356,3.95,5.56,4.22,3.852,7.11,0.3982,4.44,7.645,C57BL6J-638850.48
1.0171559561026e+18,2.31850019757557,7.98580777018114,9,7.35,1.595,9.92,1.716,5.184,9,0.974,3.379,4.082,4.043,0.558,2.938,3.379,0.02432,0.1323,0.02258,0.9463,4.082,0.8057,3.293,0.3335,2.33,3.477,4.93,2.465,4.848,6.125,1.434,3.816,6.793,C57BL6J-638850.48
1.0171559561026e+18,2.37462626489585,8.03788356087845,9,8.24,0.3704,7.855,0.45,4.895,9.164,1.866,4.59,5.902,4.793,1.041,1.695,0.3765,0.02339,0.7373,0.04395,2.002,3.795,0.938,1.039,0.0572,1.345,3.838,5.71,4.273,3.654,7.383,0.4636,4.73,7.5,C57BL6J-638850.48
1.0171559561026e+18,2.36033560715215,8.02956542855249,9,8.234,0.2476,8.586,0.4502,5.984,9.484,1.505,4.734,5.89,4.84,0.996,1.87,0.4148,0.0248,0.709,0.0843,1.96,3.803,1.133,1.044,0.0651,1.3125,3.596,5.49,3.979,3.97,7.43,0.485,4.613,7.938,C57BL6J-638850.48
1.0171559561026e+18,2.35164756447142,8.055553459707,9,8.12,0.3503,7.855,0.4907,6.04,9.34,1.688,4.918,6.363,4.77,1.023,1.769,0.3853,0.0248,0.735,0.09436,1.993,3.42,1.078,1.133,0.10944,1.276,3.736,5.367,4.31,3.742,7.004,0.4497,4.58,8.2,C57BL6J-638850.48
1.0171559561026e+18,2.10436437033036,7.74161867303461,9,7.78,1.13,8.84,1.297,7.5,8.99,0.46,4.58,5.41,3,0.2766,3.648,3.541,0,0.1932,0.07605,0.917,3.45,0.599,2.23,0.343,1.649,3.178,4.766,2.332,2.816,4.31,0.941,2.828,7.734,C57BL6J-638850.48
1.01715595610211e+18,3.50973184285289,8.02940593574981,9,8.09,0.4082,7.293,0.3752,7.223,9.04,1.719,5.25,6.78,3.896,0.8975,2.352,0.3975,0.00277,0.6924,0.05966,1.622,3.8,1.257,0.9536,0.0923,1.163,2.469,5.133,4.03,2.05,6.76,0.367,4.895,8.35,C57BL6J-638850.48
1.0171559561026e+18,2.11799163100908,7.80418329525648,9,7.477,1.472,9.61,1.556,7.05,9,1.069,4.59,4.47,4.07,0.4026,3.521,4.316,0,0.447,0.05096,0.7515,4.254,0.657,2.828,0.3975,2.193,4,5.336,2.543,4.59,5.08,1.905,3.1,7.695,C57BL6J-638850.48
1.01715595610227e+18,3.22937799875,8.0696659976464,9,8.04,0.906,8.766,0.9824,7.66,8.5,0.5874,5.15,6.6,2.748,0.4897,4.434,2.31,0.04865,0.242,0.02359,1.047,3.898,1.028,3.195,0.655,1.892,2.717,3.885,1.41,2.312,5.33,0.8066,4.12,7.516,C57BL6J-638850.48
1.0171559561026e+18,2.14146402523543,7.87791077028173,9,8.19,0.743,9.74,0.7466,7.637,9.39,0.4272,5.062,4.9,3.8,0.356,3.879,1.438,0.02432,0.1381,0.1388,1.269,2.951,0.6475,3.314,0.10846,2.55,3.752,3.445,2.002,4.055,6.617,0.455,3.441,7.84,C57BL6J-638850.48
1.0171559561026e+18,2.36937746302971,8.04760024303847,9,8.24,0.3137,7.125,0.2401,6.55,9.23,1.667,5.074,6.72,4.273,1.013,2.197,0.391,0.00277,0.4578,0.1007,1.622,3.861,1.553,1.216,0.06836,1.642,3.385,4.61,4.17,2.664,6.66,0.4873,4.37,8.11,C57BL6J-638850.48
1.0171559561026e+18,2.33391293577269,8.04582172680536,9,7.98,0.393,6.156,0.4602,6.156,9.08,2.318,5.004,6.977,3.938,0.8525,1.933,0.3965,0.02383,0.6973,0.0906,1.816,3.525,1.184,0.6753,0.1771,1.091,2.78,5.375,4.35,2.162,6.29,0.324,5.156,8.1,C57BL6J-638850.48
1.0171559562026e+18,2.32932889555906,7.97446290659927,9,7.938,0.725,9.445,0.7646,6.2,9.01,1.098,4.094,4.668,3.715,0.7593,2.73,1.22,0.001365,0.4214,0.11633,1.105,3.988,0.996,2.154,0.0974,1.722,3.496,4.527,2.984,4.14,6.254,0.606,3.531,7.453,C57BL6J-638850.48
1.01715595610211e+18,3.49527075606255,8.02084563812083,9,7.99,0.5127,6.754,0.504,7.062,9.055,1.567,5.03,7.24,3.836,0.9043,1.893,0.3718,0.001405,0.6045,0.06396,1.701,3.297,1.16,0.8784,0.0994,0.9033,2.617,4.73,4.344,1.674,6.383,0.43,4.562,8.52,C57BL6J-638850.48
1.0171559561026e+18,2.37530651230903,8.05482981350296,9,7.902,0.77,7.977,0.8623,6.06,9.41,1.608,4.79,6.207,4.89,1.038,1.745,0.6157,0.02339,0.558,0.1007,1.881,3.516,0.929,1.517,0.11096,1.418,3.564,5.375,4.223,3.547,7.113,0.504,4.24,8.08,C57BL6J-638850.48
1.01715595610227e+18,3.121208005573,8.13110145039486,9,7.49,0.6724,9.516,0.736,7.168,9.05,0.3975,4.598,6.215,2.58,0.8438,5.508,2.818,0,1.251,0.1203,0.784,5.88,1.039,0.76,0.785,0.7676,3.273,4.996,0.9077,2.871,5.703,0.838,4.496,6.312,C57BL6J-638850.48
1.01715595610227e+18,3.36941689387156,8.08504207497087,9,8.17,0.6313,9.14,0.756,7.598,9.1,0.4402,4.754,5.44,2.773,0.2722,4.254,2.625,0.02432,0.3223,0.081,1.051,3.975,1.148,3.312,0.8516,2.168,3.14,4.14,1.668,2.41,5.305,0.6157,4.12,7.8,C57BL6J-638850.48
1.01715595610227e+18,3.05010668294675,7.91100015984435,9,7.844,0.3357,6.684,0.5957,4.797,8.97,2.03,4.824,6.652,4.35,0.967,2.012,0.443,0.04495,0.7236,0.04865,1.977,3.883,1.079,0.7876,0.2096,1.068,3.111,5.43,4.445,2.729,6.477,0.4956,5.01,7.562,C57BL6J-638850.48
1.0171559561026e+18,2.14564871596504,7.74216925320919,9,5.51,3.748,9.03,3.836,5.883,9.11,1.521,4.105,5.09,4.5,0.3943,2.258,3.242,0,0.1763,0.1052,0.4717,3.312,0.1969,2.04,0.4407,1.455,3.578,4.914,3.377,4.06,4.453,2.676,2.223,7.426,C57BL6J-638850.48
1.01715595620259e+18,2.37714020621744,8.04686122410147,9,8.1,0.474,7.84,0.5327,5.72,9.39,1.6,4.914,6.04,4.684,0.9937,1.961,0.417,0.00277,0.76,0.04395,1.913,3.77,0.723,1.033,0.09064,1.05,3.492,5.73,4.125,3.303,7.312,0.3691,4.63,7.848,C57BL6J-638850.48
1.0171559561026e+18,2.22783675971337,7.96183377737131,9,7.355,1.952,9.27,1.736,7.812,9.17,0.6475,4.89,5.203,3.129,0.193,4.04,2.883,0.02432,0.2169,0,0.8936,2.996,0.5117,2.078,0.2507,1.38,3.193,4.28,1.696,2.746,3.84,1.451,2.28,7.758,C57BL6J-638850.48
1.01715595620062e+18,2.17895410784778,8.14875569527755,9.2,7.99,0.3264,6.11,0.454,6.47,8.97,2.09,5.21,7.61,4.016,1.082,1.366,0.2864,0.004173,0.7373,0.03326,1.672,3.377,1.507,0.8667,0.099,1.297,2.465,5.195,5.45,1.861,6.48,0.535,5.02,8.625,C57BL6J-638850.49
1.01715595610062e+18,2.20098398707333,8.18775469472358,9.2,8.2,0.3926,7.363,0.4043,5.996,9.23,1.971,5.086,6.7,4.633,1.147,1.6455,0.3928,0.0248,0.668,0.04395,1.891,3.568,1.157,0.9663,0.0751,1.224,3.691,5.477,4.406,3.4,7.04,0.4065,4.78,8.19,C57BL6J-638850.49
1.01715595610062e+18,2.19504455925897,8.16837513992413,9.2,8.19,0.3064,7.67,0.4153,5.875,9.336,1.741,4.88,6.414,4.64,1.001,1.737,0.4143,0.0248,0.7124,0.1346,1.882,3.512,1.167,1.0625,0.0856,1.265,3.645,5.418,4.316,3.375,7.125,0.45,4.74,7.99,C57BL6J-638850.49
1.01715595610062e+18,2.18445785804489,8.15684796748281,9.2,8.12,0.3345,7.137,0.4038,6.48,9.195,1.926,5.105,6.9,4.35,1.023,1.783,0.388,0.00277,0.724,0.05826,1.785,3.67,1.298,0.8325,0.1009,1.302,3.068,5.395,4.62,2.701,6.84,0.4067,5.06,8.32,C57BL6J-638850.49
1.01715595610062e+18,2.21077342549332,8.17794965164536,9.2,8.21,0.4436,7.44,0.3994,5.746,9.28,1.928,5.074,6.555,4.63,1.054,1.716,0.395,0.001365,0.695,0.04874,1.884,3.63,0.9844,0.9355,0.07086,1.234,3.611,5.668,4.39,3.37,7.117,0.351,4.8,8.14,C57BL6J-638850.49
1.01715595610062e+18,2.21523821486376,8.16732847520274,9.2,8.195,0.3125,8.78,0.528,5.67,9.26,1.357,4.715,5.715,4.992,1.05,1.811,0.4446,0.02339,0.6255,0.11456,2.023,3.621,1.016,1.269,0.08264,1.344,3.691,5.48,4.1,4.32,7.35,0.496,4.35,7.89,C57BL6J-638850.49
1.01715595620062e+18,2.51339640747819,7.97182361571954,9.2,8.07,0.5205,8.34,0.8247,3.65,7.91,0.8003,4.19,5.812,3.842,0.9453,2.65,0.3223,0.0521,0.7935,0.07745,1.896,5.438,0.3303,0.918,0.05264,1.087,3.682,4.824,2.158,3.842,7.51,0.416,3.521,5.19,C57BL6J-638850.49
1.01715595610062e+18,2.21018204102766,8.15399793685675,9.2,8.23,0.3513,8.33,0.3696,6.1,9.35,1.813,4.86,6.03,4.69,1.051,2.115,0.4802,0.00277,0.7227,0.1202,1.7295,3.787,1.216,1.316,0.06836,1.451,3.6,5.375,3.969,4.035,7.14,0.4263,4.684,8.09,C57BL6J-638850.49
1.01715595610062e+18,2.20143842766973,8.15974188938397,9.2,8.29,0.2476,9.14,0.4033,5.695,9.43,1.503,4.742,5.418,4.965,1.07,1.991,0.4148,0.0248,0.7397,0.09515,1.814,3.785,1.19,1.11,0.03735,1.472,3.725,5.39,3.781,4.56,7.535,0.5815,4.586,7.88,C57BL6J-638850.49
1.01715595610062e+18,2.21250639323555,8.19153632695011,9.2,8.18,0.3394,7.297,0.4797,5.516,9.29,1.686,4.926,6.504,4.418,1.0625,1.738,0.4526,0.00277,0.778,0.04395,1.88,4.11,0.9326,0.916,0.0651,1.108,3.332,5.562,4.47,3.094,7.336,0.395,4.77,7.926,C57BL6J-638850.49
1.01715595610079e+18,2.58588667500394,8.10511003476902,9.2,8.06,1.5205,10.375,1.19,0.9443,6.41,1.074,2.008,3.736,6.93,0.6953,0.842,0.1283,0.1525,0.586,0.0812,2.19,4.637,0.04868,0.906,0.004887,0.877,6.047,5.215,1.945,5.855,7.99,0.515,2.428,1.638,C57BL6J-638850.49
1.01715595610062e+18,2.18306880146277,8.17258512235413,9.2,8.17,0.3132,7.867,0.4646,6.39,9.39,1.348,4.582,6.06,4.26,1.019,2.166,0.4397,0.0248,0.6963,0.11456,1.946,3.678,1.006,1.134,0.1184,1.329,3.22,5.363,3.852,3.115,7.297,0.4128,4.598,7.99,C57BL6J-638850.49
1.0171559561008e+18,2.81105304965084,8.36444269706223,9.2,8.14,0.25,9.56,0.5005,6.26,9.17,1.044,4.33,4.95,4.6,0.192,2.443,0.422,0.02339,0.773,0.02634,1.7295,3.752,0.984,1.1875,0.05325,1.326,3.816,5.074,3.11,4.383,7.074,0.5366,3.807,7.64,C57BL6J-638850.49
1.01715595610097e+18,3.46575246588687,8.41885714431196,9.2,7.53,1.135,9.914,1.327,7.2,9.65,1.279,3.832,6.26,2.238,0.77,3.486,4.07,0,0.3635,0,1.194,5.03,0.791,2.906,0.4282,2.258,2.916,5.28,0.803,3.451,6.46,1.625,4.258,6.758,C57BL6J-638850.49
1.01715595610047e+18,2.87477507537772,8.12478802384922,9.4,8.04,0.2983,7.8,0.34,7.72,8.95,1.585,5.625,6.92,3.914,0.8896,3.057,0.2368,0.001405,0.4158,0.0559,1.356,3.309,1.905,1.564,0.06866,1.587,2.457,4.258,3.102,2.193,6.17,0.4072,4.516,8.4,C57BL6J-638850.50
1.01715595610049e+18,3.7441764662707,8.35667805318108,9.4,7.92,0.6235,9.19,0.7734,8,9.1,0.461,5.254,5.87,2.838,0.5083,4.01,3.176,0.02432,0.633,0.02034,1.072,4.42,1.08,2.9,0.7676,1.959,2.68,4.25,1.131,2.572,5.637,0.7266,4.58,7.83,C57BL6J-638850.50
1.01715595610047e+18,2.88902150686314,8.12204536541617,9.4,7.75,0.2874,4.523,0.4634,5.953,8.6,2.12,5.14,8.07,3.68,0.8184,1.112,0.4314,0.00421,0.934,0.1053,1.909,2.922,1.055,0.576,0.2181,0.9463,1.914,5.504,6,1.036,6.22,0.637,5.176,8.305,C57BL6J-638850.50
1.01715595610046e+18,2.35821796697003,8.16614290545286,9.4,8.3,0.506,9.51,0.58,7.35,9.32,0.877,5.082,4.965,4.105,0.531,3.674,0.912,0.02568,0.2744,0.1383,1.405,3.842,1.222,2.525,0.0659,2.145,4.016,4.22,2.115,4.047,6.457,0.3716,3.334,7.73,C57BL6J-638850.50
1.01715595610046e+18,2.34045495025727,8.16834875408318,9.4,8.09,0.2583,7.418,0.4705,6.42,9.05,1.457,4.62,6.55,4.066,0.91,1.942,0.4746,0.00277,0.914,0.0723,1.683,4.395,0.9683,0.84,0.0839,1.082,2.492,5.625,4.312,2.732,7.23,0.417,4.97,8.13,C57BL6J-638850.50
1.01715595610045e+18,2.11698393567354,8.04515723281201,9.4,8.19,0.333,8.67,0.4553,5.48,9.08,1.489,4.543,5.523,4.83,1.079,1.935,0.5356,0.02339,0.6606,0.09436,1.903,3.842,1.228,1.49,0.08264,1.429,3.443,5.37,4.027,4.05,7.113,0.4524,4.297,7.74,C57BL6J-638850.50
